scan_root: C:\Users\Colton S Covert\Documents\GitHub\Pathways-Into-Darkness-Unity\data\hfs
file_count: 145

path	size	appledouble_or_rsrc	has_resource_map	data_fork_note
Pathways_Extras/pidmaps/pid maps/wrong_way.pict	56548	False	False	
Pathways_Extras/pidmaps/pid maps/wrong_way.pict.rsrc	6615	True	True	
Pathways_Extras/pidmaps/README	2245	False	False	
Pathways_Extras/PIDMaps Folder/Descriptions	7696	False	False	
Pathways_Extras/PIDMaps Folder/Descriptions.rsrc	1312	True	True	
Pathways_Extras/PIDMaps Folder/Hex reps_notes	1304	False	False	
Pathways_Extras/PIDMaps Folder/Hex reps_notes.rsrc	1332	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/A Plague of Demons	11921	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/A Plague of Demons.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Ascension	8211	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Ascension.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Beware of Low-Flying Nightmares	13387	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Beware of Low-Flying Nightmares.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/But Wait!- That's Not All!	14016	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/But Wait!- That's Not All!.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Don't Get Poisoned	12719	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Don't Get Poisoned.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Evil Undead Phantasms Must Die!	12440	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Evil Undead Phantasms Must Die!.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Feel The Power	10519	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Feel The Power.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Ground Floor	8956	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Ground Floor.rsrc	286	True	True	
Pathways_Extras/PIDMaps Folder/PID Maps/Happy Happy, Carnage Carnage	13037	False	False	
Pathways_Extras/PIDMaps Folder/PID Maps/Happy Happy, Carnage Carnage.rsrc	286	True	True	
